Dates;Open;Close;High;Low
03/04/2012 10:49:00;23,04;23,04;23,05;23,03
03/04/2012 10:50:00;23,03;22,99;23,04;22,99
03/04/2012 10:51:00;22,99;22,98;23,01;22,97
03/04/2012 10:52:00;22,98;22,96;22,99;22,95
03/04/2012 10:53:00;22,96;22,95;22,98;22,93
03/04/2012 10:54:00;22,97;22,96;22,98;22,95
03/04/2012 10:55:00;22,95;22,96;22,97;22,95
03/04/2012 10:56:00;22,97;22,96;22,97;22,96
03/04/2012 10:57:00;22,97;22,99;22,99;22,97
03/04/2012 10:58:00;22,98;23,01;23,01;22,97
03/04/2012 10:59:00;23,01;22,99;23,01;22,99
03/04/2012 11:00:00;22,99;22,95;23,0;22,95
03/04/2012 11:01:00;22,95;22,96;22,97;22,95
03/04/2012 11:02:00;22,95;22,94;22,96;22,91
03/04/2012 11:03:00;22,93;22,94;22,96;22,92
03/04/2012 11:04:00;22,94;22,93;22,95;22,93
03/04/2012 11:05:00;22,94;22,95;22,95;22,93
03/04/2012 11:06:00;22,95;22,99;22,99;22,95
03/04/2012 11:07:00;22,98;23,0;23,02;22,98
03/04/2012 11:08:00;23,0;23,03;23,04;23,0
03/04/2012 11:09:00;23,04;23,07;23,08;23,03
03/04/2012 11:10:00;23,07;23,03;23,08;23,03
03/04/2012 11:11:00;23,03;23,05;23,05;23,03
03/04/2012 11:12:00;23,05;23,03;23,05;23,03
03/04/2012 11:13:00;23,03;23,01;23,03;23,0
03/04/2012 11:14:00;23,01;23,0;23,02;23,0
03/04/2012 11:15:00;23,01;23,0;23,02;22,99
03/04/2012 11:16:00;22,99;22,99;23,0;22,99
03/04/2012 11:17:00;22,99;23,01;23,03;22,99
03/04/2012 11:18:00;23,01;23,0;23,01;22,99
03/04/2012 11:19:00;23,0;22,99;23,01;22,99
03/04/2012 11:20:00;22,99;23,0;23,0;22,99
03/04/2012 11:21:00;23,0;23,01;23,03;22,99
03/04/2012 11:22:00;23,0;23,03;23,03;23,0
03/04/2012 11:23:00;23,01;23,02;23,03;23,01
03/04/2012 11:24:00;23,01;23,01;23,03;23,01
03/04/2012 11:25:00;23,02;23,03;23,05;23,02
03/04/2012 11:26:00;23,03;23,03;23,04;23,01
